#Name	FlyBaseID	Pos/Neg	Annotations
Ir25a	FBgn0031634	Negative	regulation_of_circadian_rhythm_GO0042752
Gabat	FBgn0036927	Negative	regulation_of_circadian_rhythm_GO0042752
qvr	FBgn0260499	Negative	regulation_of_circadian_rhythm_GO0042752
na	FBgn0002917	Negative	regulation_of_circadian_rhythm_GO0042752
norpA	FBgn0262738	Negative	regulation_of_circadian_rhythm_GO0042752
so	FBgn0003460	Negative	regulation_of_circadian_rhythm_GO0042752
Hsp83	FBgn0001233	Negative	regulation_of_circadian_rhythm_GO0042752
LysE	FBgn0004428	Negative	regulation_of_immune_response_GO0050776
crq	FBgn0015924	Negative	regulation_of_immune_response_GO0050776
CG1667	FBgn0033453	Negative	regulation_of_immune_response_GO0050776
Usp2	FBgn0031187	Negative	regulation_of_immune_response_GO0050776
conv	FBgn0261269	Negative	regulation_of_immune_response_GO0050776
ubl	FBgn0022224	Negative	regulation_of_immune_response_GO0050776
Tim10	FBgn0027360	Negative	regulation_of_immune_response_GO0050776
betaCOP	FBgn0008635	Negative	regulation_of_immune_response_GO0050776
GlyP	FBgn0004507	Negative	regulation_of_immune_response_GO0050776
Sp7	FBgn0037515	Negative	regulation_of_immune_response_GO0050776
CanA1	FBgn0010015	Negative	regulation_of_immune_response_GO0050776
Dark	FBgn0263864	Negative	regulation_of_immune_response_GO0050776
GstO2	FBgn0035906	Negative	regulation_of_immune_response_GO0050776
Hel89B	FBgn0022787	Negative	regulation_of_immune_response_GO0050776
CG9925	FBgn0038191	Negative	regulation_of_immune_response_GO0050776
PGRP-SC2	FBgn0043575	Negative	regulation_of_immune_response_GO0050776
LRR	FBgn0033212	Negative	regulation_of_immune_response_GO0050776
HBS1	FBgn0042712	Negative	regulation_of_immune_response_GO0050776
l(2)34Fc	FBgn0261534	Negative	regulation_of_immune_response_GO0050776
Spn42Dd	FBgn0028988	Negative	regulation_of_immune_response_GO0050776
key	FBgn0041205	Negative	regulation_of_immune_response_GO0050776
GNBP1	FBgn0040323	Negative	regulation_of_immune_response_GO0050776
Spt6	FBgn0028982	Negative	regulation_of_immune_response_GO0050776
velo	FBgn0035713	Negative	regulation_of_immune_response_GO0050776
Pebp1	FBgn0038973	Negative	regulation_of_immune_response_GO0050776
CG9636	FBgn0037556	Negative	regulation_of_immune_response_GO0050776
casp	FBgn0034068	Negative	regulation_of_immune_response_GO0050776
ush	FBgn0003963	Negative	regulation_of_immune_response_GO0050776
RluA-2	FBgn0032256	Negative	regulation_of_immune_response_GO0050776
MED25	FBgn0038760	Negative	regulation_of_immune_response_GO0050776
LanB1	FBgn0261800	Negative	regulation_of_immune_response_GO0050776
Crag	FBgn0025864	Negative	regulation_of_immune_response_GO0050776
pnr	FBgn0003117	Negative	regulation_of_immune_response_GO0050776
MstProx	FBgn0015770	Negative	regulation_of_immune_response_GO0050776
Nsun5	FBgn0259704	Negative	regulation_of_immune_response_GO0050776
scny	FBgn0260936	Negative	regulation_of_immune_response_GO0050776
Hat1	FBgn0037376	Negative	regulation_of_immune_response_GO0050776
Ntf-2	FBgn0031145	Negative	regulation_of_immune_response_GO0050776
CG33223	FBgn0053223	Negative	regulation_of_immune_response_GO0050776
CG4325	FBgn0026878	Negative	regulation_of_immune_response_GO0050776
MED6	FBgn0024330	Negative	regulation_of_immune_response_GO0050776
RYBP	FBgn0034763	Negative	regulation_of_immune_response_GO0050776
Fadd	FBgn0038928	Negative	regulation_of_immune_response_GO0050776
cact	FBgn0000250	Negative	regulation_of_immune_response_GO0050776
PDCD-5	FBgn0036580	Negative	regulation_of_immune_response_GO0050776
Ubr3	FBgn0260970	Negative	regulation_of_immune_response_GO0050776
Pli	FBgn0025574	Negative	regulation_of_immune_response_GO0050776
Charon	FBgn0031317	Negative	regulation_of_immune_response_GO0050776
GNBP2	FBgn0040322	Negative	regulation_of_immune_response_GO0050776
dome	FBgn0043903	Negative	regulation_of_immune_response_GO0050776
Dsp1	FBgn0278608	Negative	regulation_of_immune_response_GO0050776
wek	FBgn0001990	Negative	regulation_of_immune_response_GO0050776
Doa	FBgn0265998	Negative	regulation_of_immune_response_GO0050776
Mt2	FBgn0028707	Negative	regulation_of_immune_response_GO0050776
CG13994	FBgn0031772	Negative	regulation_of_immune_response_GO0050776
dnr1	FBgn0260866	Negative	regulation_of_immune_response_GO0050776
Etl1	FBgn0032157	Negative	regulation_of_immune_response_GO0050776
tefu	FBgn0045035	Negative	regulation_of_immune_response_GO0050776
psidin	FBgn0243511	Negative	regulation_of_immune_response_GO0050776
CG32795	FBgn0040384	Negative	regulation_of_immune_response_GO0050776
Prx5	FBgn0038570	Negative	regulation_of_immune_response_GO0050776
Hayan	FBgn0030925	Negative	regulation_of_immune_response_GO0050776
Su(var)2-10	FBgn0003612	Negative	regulation_of_immune_response_GO0050776
DMAP1	FBgn0034537	Negative	regulation_of_immune_response_GO0050776
Tl	FBgn0262473	Negative	regulation_of_immune_response_GO0050776
Uba2	FBgn0029113	Negative	regulation_of_immune_response_GO0050776
Tab2	FBgn0086358	Negative	regulation_of_immune_response_GO0050776
Parp	FBgn0010247	Negative	regulation_of_immune_response_GO0050776
Aos1	FBgn0029512	Negative	regulation_of_immune_response_GO0050776
Herc4	FBgn0035207	Negative	regulation_of_immune_response_GO0050776
SP2353	FBgn0034070	Negative	regulation_of_immune_response_GO0050776
PGRP-SA	FBgn0030310	Negative	regulation_of_immune_response_GO0050776
CYLD	FBgn0032210	Negative	regulation_of_immune_response_GO0050776
Ide	FBgn0001247	Negative	regulation_of_immune_response_GO0050776
grass	FBgn0039494	Negative	regulation_of_immune_response_GO0050776
kug	FBgn0261574	Negative	regulation_of_immune_response_GO0050776
Nxt1	FBgn0028411	Negative	regulation_of_immune_response_GO0050776
Deaf1	FBgn0013799	Negative	regulation_of_immune_response_GO0050776
DPCoAC	FBgn0067783	Negative	regulation_of_immune_response_GO0050776
p38b	FBgn0024846	Negative	regulation_of_immune_response_GO0050776
Jra	FBgn0001291	Negative	regulation_of_immune_response_GO0050776
Rala	FBgn0015286	Negative	regulation_of_immune_response_GO0050776
brm	FBgn0000212	Negative	regulation_of_immune_response_GO0050776
Myd88	FBgn0033402	Negative	regulation_of_immune_response_GO0050776
Dif	FBgn0011274	Negative	regulation_of_immune_response_GO0050776
Hr78	FBgn0015239	Negative	regulation_of_immune_response_GO0050776
Spn77Ba	FBgn0262057	Negative	regulation_of_immune_response_GO0050776
wun	FBgn0016078	Negative	regulation_of_immune_response_GO0050776
E(bx)	FBgn0000541	Negative	regulation_of_immune_response_GO0050776
Toll-4	FBgn0032095	Negative	regulation_of_immune_response_GO0050776
Ubc7	FBgn0267384	Negative	regulation_of_immune_response_GO0050776
Spn27A	FBgn0028990	Negative	regulation_of_immune_response_GO0050776
SPE	FBgn0039102	Negative	regulation_of_immune_response_GO0050776
IKKbeta	FBgn0024222	Negative	regulation_of_immune_response_GO0050776
Stat92E	FBgn0016917	Negative	regulation_of_immune_response_GO0050776
Tehao	FBgn0026760	Negative	regulation_of_immune_response_GO0050776
Spn28Dc	FBgn0031973	Negative	regulation_of_immune_response_GO0050776
puc	FBgn0243512	Negative	regulation_of_immune_response_GO0050776
DptA	FBgn0004240	Negative	regulation_of_immune_response_GO0050776
imd	FBgn0013983	Negative	regulation_of_immune_response_GO0050776
Sec31	FBgn0033339	Negative	regulation_of_immune_response_GO0050776
PGRP-SC1a	FBgn0043576	Negative	regulation_of_immune_response_GO0050776
GNBP3	FBgn0040321	Negative	regulation_of_immune_response_GO0050776
Ptip	FBgn0052133	Negative	regulation_of_immune_response_GO0050776
mor	FBgn0002783	Negative	regulation_of_immune_response_GO0050776
ac	FBgn0000022	Negative	regulation_of_immune_response_GO0050776
spz	FBgn0003495	Negative	regulation_of_immune_response_GO0050776
Lam	FBgn0002525	Negative	regulation_of_immune_response_GO0050776
sax	FBgn0003317	Negative	regulation_of_immune_response_GO0050776
Diap2	FBgn0015247	Negative	regulation_of_immune_response_GO0050776
Pitslre	FBgn0016696	Negative	regulation_of_immune_response_GO0050776
PGRP-LC	FBgn0035976	Negative	regulation_of_immune_response_GO0050776
unc-45	FBgn0010812	Negative	regulation_of_immune_response_GO0050776
CG42359	FBgn0259705	Negative	regulation_of_immune_response_GO0050776
smt3	FBgn0264922	Negative	regulation_of_immune_response_GO0050776
nub	FBgn0085424	Negative	regulation_of_immune_response_GO0050776
aub	FBgn0000146	Negative	regulation_of_immune_response_GO0050776
Anp	FBgn0000094	Negative	regulation_of_immune_response_GO0050776
akirin	FBgn0082598	Negative	regulation_of_immune_response_GO0050776
Rac2	FBgn0014011	Negative	regulation_of_immune_response_GO0050776
wisp	FBgn0260780	Negative	regulation_of_immune_response_GO0050776
Prosalpha6T	FBgn0032492	Negative	regulation_of_immune_response_GO0050776
pirk	FBgn0034647	Negative	regulation_of_immune_response_GO0050776
vvl	FBgn0086680	Negative	regulation_of_immune_response_GO0050776
Pp1alpha-96A	FBgn0003134	Negative	regulation_of_immune_response_GO0050776
Rel	FBgn0014018	Negative	regulation_of_immune_response_GO0050776
mtd	FBgn0013576	Negative	regulation_of_immune_response_GO0050776
Mmp2	FBgn0033438	Negative	regulation_of_immune_response_GO0050776
faf	FBgn0005632	Negative	regulation_of_immune_response_GO0050776
slif	FBgn0037203	Negative	regulation_of_immune_response_GO0050776
Dredd	FBgn0020381	Negative	regulation_of_immune_response_GO0050776
PGRP-LE	FBgn0030695	Negative	regulation_of_immune_response_GO0050776
p38a	FBgn0015765	Negative	regulation_of_immune_response_GO0050776
